»’∆⁄, ’≈Ã
2014/12/26,3445.84
2014/12/29,3455.46
2014/12/30,3457.55
2014/12/31,3533.71
2015/1/5,3641.54
2015/1/6,3641.06
2015/1/7,3643.79
2015/1/8,3559.26
2015/1/9,3546.72
2015/1/12,3513.58
2015/1/13,3514.04
2015/1/14,3502.41
2015/1/15,3604.12
2015/1/16,3635.14
2015/1/19,3355.15
2015/1/20,3396.22
2015/1/21,3548.87
2015/1/22,3567.61
2015/1/23,3571.73
2015/1/26,3607.98
2015/1/27,3574.92
2015/1/28,3525.32
2015/1/29,3481.8
2015/1/30,3434.38
2015/2/2,3353.96
2015/2/3,3437.45
2015/2/4,3401.77
2015/2/5,3366.95
2015/2/6,3312.41
2015/2/9,3345.91
2015/2/10,3406.93
2015/2/11,3434.12
2015/2/12,3442.87
2015/2/13,3469.83
2015/2/16,3499.48
2015/2/17,3522.32
2015/2/25,3478.73
2015/2/26,3566.29
2015/2/27,3572.84
2015/3/2,3601.27
2015/3/3,3507.89
2015/3/4,3530.82
2015/3/5,3496.34
2015/3/6,3478.52
2015/3/9,3537.75
2015/3/10,3520.61
2015/3/11,3524.64
2015/3/12,3592.84
2015/3/13,3617.65
2015/3/16,3705.66
2015/3/17,3757.12
2015/3/18,3846.06
2015/3/19,3839.74
2015/3/20,3892.57
2015/3/23,3972.06
2015/3/24,3973.05
2015/3/25,3940.4
2015/3/26,3950
2015/3/27,3971.7
2015/3/30,4088.17
2015/3/31,4051.2
2015/4/1,4123.89
2015/4/2,4124.77
2015/4/3,4170.54
2015/4/7,4260.04
2015/4/8,4295.79
2015/4/9,4262.14
2015/4/10,4344.41
2015/4/13,4421.06
2015/4/14,4438.18
2015/4/15,4380.5
2015/4/16,4513.54
2015/4/17,4596.14
2015/4/20,4521.91
2015/4/21,4619.16
2015/4/22,4739.81
2015/4/23,4740.89
2015/4/24,4702.64
2015/4/27,4807.58
2015/4/28,4741.85
2015/4/29,4774.33
2015/4/30,4749.89
2015/5/4,4787.74
2015/5/5,4596.83
2015/5/6,4553.33
2015/5/7,4470.08
2015/5/8,4558.39
2015/5/11,4690.52
2015/5/12,4747.41
2015/5/13,4718.43
2015/5/14,4700.77
2015/5/15,4617.47
2015/5/18,4575.14
2015/5/19,4731.22
2015/5/20,4754.91
2015/5/21,4840.98
2015/5/22,4951.33
2015/5/25,5099.49
2015/5/26,5198.91
2015/5/27,5181.43
2015/5/28,4834
2015/5/29,4840.83
2015/6/1,5076.18
2015/6/2,5161.87
2015/6/3,5143.58
2015/6/4,5181.41
2015/6/5,5230.54
2015/6/8,5353.75
2015/6/9,5317.46
2015/6/10,5309.1
2015/6/11,5306.58
2015/6/12,5335.12
2015/6/15,5221.16
2015/6/16,5064.81
2015/6/17,5138.83
2015/6/18,4930.54
2015/6/19,4637.04
2015/6/23,4786.08
2015/6/24,4880.12
2015/6/25,4706.52
2015/6/26,4336.18
2015/6/29,4191.54
2015/6/30,4473
2015/7/1,4253.02
2015/7/2,4108
2015/7/3,3885.91
2015/7/6,3998.54
2015/7/7,3928
2015/7/8,3663.04
2015/7/9,3897.62
2015/7/10,4106.56
2015/7/13,4211.81
2015/7/14,4112.14
2015/7/15,3966.76
2015/7/16,3997.36
2015/7/17,4151.5
2015/7/20,4160.6
2015/7/21,4166
2015/7/22,4157.16
2015/7/23,4250.81
2015/7/24,4176.27
2015/7/27,3818.73
2015/7/28,3811.09
2015/7/29,3930.37
2015/7/30,3815.4
2015/7/31,3816.7
2015/8/3,3829.24
2015/8/4,3948.15
2015/8/5,3866.89
2015/8/6,3831.85
2015/8/7,3906.93
2015/8/10,4084.36
2015/8/11,4066.66
2015/8/12,4016.12
2015/8/13,4075.46
