DATE,SPX2.r,SPX2.closeprice,SPX2.rv
2016/1/4,-0.019727194,18450.98,0.000113701
2016/1/5,-0.001346649,18374,0.00014034
2016/1/6,-0.011980399,18191.32,0.000169175
2016/1/7,-0.020744825,17767.34,0.000151948
2016/1/8,0.007698805,17697.96,0.000237768
2016/1/12,-0.014527255,17218.96,0.000155651
2016/1/13,0.015158083,17715.63,9.38E-05
2016/1/14,-0.008316371,17240.95,0.000327697
2016/1/15,-0.02165384,17147.11,0.000169367
2016/1/18,0.007615814,16955.57,0.000287889
2016/1/19,0.008605482,17048.37,0.000227538
2016/1/20,-0.036724893,16416.19,0.000238295
2016/1/21,-0.027682986,16017.26,0.000542321
2016/1/22,0.037355617,16958.53,0.000366262
2016/1/25,-0.002037557,17110.91,0.000205952
2016/1/26,-0.007407457,16708.9,0.000102066
2016/1/27,0.012589461,17163.92,0.000207232
2016/1/28,-0.001078552,17041.45,0.000122506
2016/1/29,0.020952875,17518.3,0.001477329
2016/2/1,0.009314325,17865.23,8.10E-05
2016/2/2,0.001926287,17750.68,7.79E-05
2016/2/3,-0.017652337,17191.25,0.000221616
2016/2/4,-0.001531242,17044.99,0.000244014
2016/2/5,0.001729242,16819.59,0.000173706
2016/2/8,0.022804712,17004.3,0.000170872
2016/2/9,-0.035503602,16085.44,0.000426992
2016/2/10,-0.026034996,15713.39,0.000386571
2016/2/12,-0.031186034,14952.61,0.001087851
2016/2/15,0.049525709,16022.58,0.00051891
2016/2/16,0.012848763,16054.43,0.000333898
2016/2/17,-0.012487098,15836.36,0.000456947
2016/2/18,0.003631995,16196.8,0.000238887
2016/2/19,-0.005199032,15967.17,0.000142484
2016/2/22,0.016248178,16111.05,0.000235776
2016/2/23,-0.011048227,16052.05,0.000128769
2016/2/24,0.004070907,15915.79,0.00017749
2016/2/25,0.009766665,16140.34,0.000134725
2016/2/26,-0.007576053,16188.41,0.0001443
2016/2/29,-0.017721514,16026.76,0.000146779
2016/3/1,0.004517974,16085.51,0.000190861
2016/3/2,0.021430579,16746.55,0.000121261
2016/3/3,0.015711071,16960.16,0.000121078
2016/3/4,0.00515113,17014.78,8.95E-05
2016/3/7,-0.006678486,16911.32,5.56E-05
2016/3/8,-0.006315536,16783.15,8.81E-05
2016/3/9,0.000998564,16642.2,0.000109371
2016/3/10,0.002456679,16852.35,4.60E-05
2016/3/11,0.019595221,16938.87,0.0001551
2016/3/14,0.004549683,17233.75,3.56E-05
2016/3/15,-0.0059889,17117.07,9.56E-05
2016/3/16,-0.000407,16974.45,6.67E-05
2016/3/17,-0.010058838,16936.38,0.000107243
2016/3/18,-0.009458375,16724.81,0.000102407
2016/3/22,0.006546275,17048.55,0.000162164
2016/3/23,-0.003833011,17000.98,7.12E-05
2016/3/24,-0.005140583,16892.33,7.75E-05
2016/3/25,0.003134991,17002.75,6.56E-05
2016/3/28,0.000297692,17134.37,8.34E-05
2016/3/29,0.006937788,17103.53,7.24E-05
